Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price
Explorer,2016,Gulf Arabic,Black,Standard,3.5,Gas,Automatic,111000,Riyadh,75000
Camry,2016,Gulf Arabic,White,Standard,2.5,Gas,Automatic,81000,Riyadh,62000
Camry,2016,Gulf Arabic,White,Semi Full,2.4,Gas,Automatic,78000,Riyadh,57000
Tahoe,2016,Gulf Arabic,Golden,Semi Full,5.516666666666667,Gas,Automatic,97000,Riyadh,135000
Spark,2019,Saudi,Silver,Standard,1.4,Gas,Automatic,63744,Riyadh,25000
Z370,2015,Saudi,Red,Semi Full,3.7,Gas,Automatic,111075,Jazan,80000
Victoria,2006,Saudi,Oily,Standard,4.6,Gas,Automatic,320000,Taef,19500
Rio,2017,Saudi,White,Standard,1.4,Gas,Automatic,180818,Riyadh,27500
Rio,2017,Saudi,White,Standard,1.4,Gas,Automatic,144024,Riyadh,27500
Seven,2020,Saudi,Red,Standard,1.5,Gas,Automatic,47528,Riyadh,28500
Seven,2020,Saudi,White,Standard,1.5,Gas,Automatic,36833,Riyadh,28500
Impala,2016,Gulf Arabic,White,Standard,3.5,Gas,Automatic,114000,Riyadh,65000
Explorer,2016,Gulf Arabic,Black,Standard,3.5,Gas,Automatic,111000,Riyadh,75000
Camry,2016,Gulf Arabic,White,Standard,2.5,Gas,Automatic,81000,Riyadh,62000
Camry,2016,Gulf Arabic,White,Semi Full,2.4,Gas,Automatic,78000,Riyadh,57000
Tahoe,2016,Gulf Arabic,Golden,Semi Full,5.516666666666667,Gas,Automatic,97000,Riyadh,135000
Spark,2019,Saudi,Silver,Standard,1.4,Gas,Automatic,63744,Riyadh,25000
Accent,2018,Saudi,White,Standard,1.4,Gas,Automatic,71000,Riyadh,38000
Sonata,2018,Other,White,Full,2.0,Gas,Automatic,65239,Qassim,67000
